activity_id,lesson,title,prompt_source_page,status,image_paths,image_source_pages
1,1,Pre-assessment · 1,7,Personal/oral/practical task; no fixed visual assigned,,
2,1,Pre-assessment · 2,7,Personal/oral/practical task; no fixed visual assigned,,
3,1,Pre-assessment · 3,7,Personal/oral/practical task; no fixed visual assigned,,
4,1,Pre-assessment · 4,7,Personal/oral/practical task; no fixed visual assigned,,
5,1,Pre-assessment · 5,7,Personal/oral/practical task; no fixed visual assigned,,
6,1,Post-assessment · 1,87,Personal/oral/practical task; no fixed visual assigned,,
7,1,Post-assessment · 2,87,Personal/oral/practical task; no fixed visual assigned,,
8,1,Post-assessment · 3,87,Personal/oral/practical task; no fixed visual assigned,,
9,1,Post-assessment · 4,87,Personal/oral/practical task; no fixed visual assigned,,
10,1,Post-assessment · 5,87,Personal/oral/practical task; no fixed visual assigned,,
11,2,Pre-assessment · 1,8,Personal/oral/practical task; no fixed visual assigned,,
12,2,Pre-assessment · 2,8,Personal/oral/practical task; no fixed visual assigned,,
13,2,Pre-assessment · 3,8,Personal/oral/practical task; no fixed visual assigned,,
14,2,Pre-assessment · 4,8,Personal/oral/practical task; no fixed visual assigned,,
15,2,Pre-assessment · 5,8,Personal/oral/practical task; no fixed visual assigned,,
16,2,Post-assessment · 1,88,Personal/oral/practical task; no fixed visual assigned,,
17,2,Post-assessment · 2,88,Personal/oral/practical task; no fixed visual assigned,,
18,2,Post-assessment · 3,88,Personal/oral/practical task; no fixed visual assigned,,
19,2,Post-assessment · 4,88,Personal/oral/practical task; no fixed visual assigned,,
20,2,Post-assessment · 5,88,Personal/oral/practical task; no fixed visual assigned,,
21,3,Pre-assessment · 1,9,Personal/oral/practical task; no fixed visual assigned,,
22,3,Pre-assessment · 2,9,Personal/oral/practical task; no fixed visual assigned,,
23,3,Pre-assessment · 3,9,Personal/oral/practical task; no fixed visual assigned,,
24,3,Pre-assessment · 4,9,Personal/oral/practical task; no fixed visual assigned,,
25,3,Pre-assessment · 5,9,Personal/oral/practical task; no fixed visual assigned,,
26,3,Post-assessment · 1,89,Personal/oral/practical task; no fixed visual assigned,,
27,3,Post-assessment · 2,89,Personal/oral/practical task; no fixed visual assigned,,
28,3,Post-assessment · 3,89,Personal/oral/practical task; no fixed visual assigned,,
29,3,Post-assessment · 4,89,Personal/oral/practical task; no fixed visual assigned,,
30,3,Post-assessment · 5,89,Personal/oral/practical task; no fixed visual assigned,,
31,4,Pre-assessment · 1,10,Personal/oral/practical task; no fixed visual assigned,,
32,4,Pre-assessment · 2,10,Personal/oral/practical task; no fixed visual assigned,,
33,4,Pre-assessment · 3,10,Personal/oral/practical task; no fixed visual assigned,,
34,4,Pre-assessment · 4,10,Personal/oral/practical task; no fixed visual assigned,,
35,4,Pre-assessment · 5,10,Personal/oral/practical task; no fixed visual assigned,,
36,4,Post-assessment · 1,90,Personal/oral/practical task; no fixed visual assigned,,
37,4,Post-assessment · 2,90,Personal/oral/practical task; no fixed visual assigned,,
38,4,Post-assessment · 3,90,Personal/oral/practical task; no fixed visual assigned,,
39,4,Post-assessment · 4,90,Personal/oral/practical task; no fixed visual assigned,,
40,4,Post-assessment · 5,90,Personal/oral/practical task; no fixed visual assigned,,
41,5,Pre-assessment · 1,11,Assigned original module visuals,assets/images/level1/lesson05/image-210.jpeg,image-210.jpeg: 24
42,5,Pre-assessment · 2,11,Personal/oral/practical task; no fixed visual assigned,,
43,5,Pre-assessment · 3,11,Assigned original module visuals,assets/images/level1/lesson05/image-298.jpeg,image-298.jpeg: 33
44,5,Pre-assessment · 4,11,Personal/oral/practical task; no fixed visual assigned,,
45,5,Pre-assessment · 5,11,Assigned original module visuals,assets/images/level1/lesson05/image-235.jpeg,image-235.jpeg: 27
46,5,Post-assessment · 1,91,Assigned original module visuals,assets/images/level1/lesson05/image-203.jpeg,image-203.jpeg: 24
47,5,Post-assessment · 2,91,Personal/oral/practical task; no fixed visual assigned,,
48,5,Post-assessment · 3,91,Teacher-supplied picture required: a rainbow,,
