module,pdf_page,purpose,lesson_positions
2a,1,"Teacher source only (guide, protocol, answer key, front matter or blank)",
2a,2,"Teacher source only (guide, protocol, answer key, front matter or blank)",
2a,3,"Teacher source only (guide, protocol, answer key, front matter or blank)",
2a,4,"Teacher source only (guide, protocol, answer key, front matter or blank)",
2a,5,"Teacher source only (guide, protocol, answer key, front matter or blank)",
2a,6,Pupil worksheet and teacher source,1
2a,7,Pupil worksheet and teacher source,1
2a,8,Pupil worksheet and teacher source,1
2a,9,Pupil worksheet and teacher source,1
2a,10,Pupil worksheet and teacher source,1
2a,11,Pupil worksheet and teacher source,1
2a,12,Pupil worksheet and teacher source,1
2a,13,Pupil worksheet and teacher source,1
2a,14,Pupil worksheet and teacher source,1
2a,15,Pupil worksheet and teacher source,1
2a,16,Pupil worksheet and teacher source,1
2a,17,Pupil worksheet and teacher source,1
2a,18,Pupil worksheet and teacher source,1
2a,19,Pupil worksheet and teacher source,1
2a,20,Pupil worksheet and teacher source,1
2a,21,Pupil worksheet and teacher source,1
2a,22,"Teacher source only (guide, protocol, answer key, front matter or blank)",
2a,23,"Teacher source only (guide, protocol, answer key, front matter or blank)",
2a,24,"Teacher source only (guide, protocol, answer key, front matter or blank)",
2a,25,"Teacher source only (guide, protocol, answer key, front matter or blank)",
2a,26,"Teacher source only (guide, protocol, answer key, front matter or blank)",2
2a,27,"Teacher source only (guide, protocol, answer key, front matter or blank)",2
2a,28,"Teacher source only (guide, protocol, answer key, front matter or blank)",2
2a,29,Pupil worksheet and teacher source,2
2a,30,Pupil worksheet and teacher source,2
2a,31,Pupil worksheet and teacher source,2
2a,32,"Teacher source only (guide, protocol, answer key, front matter or blank)",3
2a,33,"Teacher source only (guide, protocol, answer key, front matter or blank)",3
2a,34,Pupil worksheet and teacher source,3
2a,35,Pupil worksheet and teacher source,3
2a,36,Pupil worksheet and teacher source,3
2a,37,Pupil worksheet and teacher source,3
2a,38,"Teacher source only (guide, protocol, answer key, front matter or blank)",4
2a,39,"Teacher source only (guide, protocol, answer key, front matter or blank)",4
2a,40,Pupil worksheet and teacher source,4
2a,41,Pupil worksheet and teacher source,4
2a,42,"Teacher source only (guide, protocol, answer key, front matter or blank)",
2a,43,"Teacher source only (guide, protocol, answer key, front matter or blank)",
